"","DO"
"GAPDH","DOID:10652"
"GAPDH","DOID:1240"
"GAPDH","DOID:162"
"GAPDH","DOID:1909"
"GAPDH","DOID:3275"
"GAPDH","DOID:5419"
"ENO1","DOID:10652"
"ENO1","DOID:162"
"ENO1","DOID:1749"
"ENO1","DOID:1909"
"ENO1","DOID:3310"
"ENO1","DOID:3459"
"ENO1","DOID:3908"
"ENO1","DOID:684"
"ENO1","DOID:7148"
"ENO1","DOID:848"
"EEF2","DOID:162"
"EEF2","DOID:1909"
"LDHB","DOID:162"
"LDHB","DOID:1909"
"LDHB","DOID:3858"
"LDHB","DOID:4971"
"LDHB","DOID:4"
"EEF1A1","DOID:162"
"EEF1A1","DOID:326"
"EEF1A1","DOID:684"
"FN1","DOID:114"
"FN1","DOID:1168"
"FN1","DOID:1240"
"FN1","DOID:162"
"FN1","DOID:1749"
"FN1","DOID:1909"
"FN1","DOID:1936"
"FN1","DOID:225"
"FN1","DOID:3347"
"FN1","DOID:3905"
"FN1","DOID:3908"
"FN1","DOID:3963"
"FN1","DOID:4971"
"FN1","DOID:5082"
"FN1","DOID:5844"
"FN1","DOID:7148"
"FN1","DOID:848"
"RPS19","DOID:2355"
"RPLP0","DOID:162"
"RPS17","DOID:2355"
"RPL19","DOID:162"
"HSP90AB1","DOID:162"
"HSP90AB1","DOID:5223"
"HSP90AB1","DOID:1240"
"BCL10","DOID:162"
"BCL10","DOID:4"
"KIT","DOID:114"
"KIT","DOID:1240"
"KIT","DOID:162"
"KIT","DOID:1749"
"KIT","DOID:1909"
"KIT","DOID:225"
"KIT","DOID:326"
"KIT","DOID:3347"
"KIT","DOID:3459"
"KIT","DOID:3858"
"KIT","DOID:3905"
"KIT","DOID:3908"
"KIT","DOID:3963"
"KIT","DOID:4971"
"KIT","DOID:684"
"KIT","DOID:4"
"STK11","DOID:1240"
"STK11","DOID:162"
"STK11","DOID:1749"
"STK11","DOID:1909"
"STK11","DOID:225"
"STK11","DOID:326"
"STK11","DOID:3905"
"STK11","DOID:3908"
"FGFR3","DOID:162"
"FGFR3","DOID:1909"
"FGFR3","DOID:225"
"ATF7IP","DOID:162"
"DMRT1","DOID:162"
"DMRT1","DOID:1749"
"ESR1","DOID:10652"
"ESR1","DOID:114"
"ESR1","DOID:1168"
"ESR1","DOID:1240"
"ESR1","DOID:162"
"ESR1","DOID:1749"
"ESR1","DOID:1936"
"ESR1","DOID:225"
"ESR1","DOID:3275"
"ESR1","DOID:3347"
"ESR1","DOID:3459"
"ESR1","DOID:3908"
"ESR1","DOID:3963"
"ESR1","DOID:5223"
"ESR1","DOID:5419"
"ESR1","DOID:5844"
"ESR1","DOID:684"
"ESR2","DOID:10652"
"ESR2","DOID:114"
"ESR2","DOID:162"
"ESR2","DOID:1749"
"ESR2","DOID:1936"
"ESR2","DOID:225"
"ESR2","DOID:3347"
"ESR2","DOID:3459"
"ESR2","DOID:3908"
"ESR2","DOID:3963"
"ESR2","DOID:5223"
"ESR2","DOID:5419"
"KITLG","DOID:1240"
"KITLG","DOID:162"
"KITLG","DOID:1909"
"KITLG","DOID:2355"
"KITLG","DOID:3310"
"KITLG","DOID:4"
"LHCGR","DOID:10652"
"LHCGR","DOID:162"
"LHCGR","DOID:225"
"LHCGR","DOID:3459"
"LHCGR","DOID:5223"
"LHCGR","DOID:4"
"POLG","DOID:162"
"POLG","DOID:225"
"POLG","DOID:5223"
"POLG","DOID:4"
"TERT","DOID:1240"
"TERT","DOID:162"
"TERT","DOID:1749"
"TERT","DOID:1936"
"TERT","DOID:225"
"TERT","DOID:2355"
"TERT","DOID:3459"
"TERT","DOID:3908"
"TERT","DOID:3963"
"TERT","DOID:5082"
"TERT","DOID:684"
"TERT","DOID:7148"
"TERT","DOID:848"
